id,age,income,children,gender_FEMALE,gender_MALE,region_INNER_CITY,region_RURAL,region_SUBURBAN,region_TOWN,married_NO,married_YES,car_NO,car_YES,savings_acct_NO,savings_acct_YES,current_acct_NO,current_acct_YES,mortgage_NO,mortgage_YES,pep_NO,pep_YES
ID12101,0.6122448979591837,0.21563448481990033,0.3333333333333333,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1
ID12102,0.44897959183673464,0.43139475279480355,1.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
ID12103,0.6734693877551019,0.198933372611174,0.0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12104,0.10204081632653061,0.2643199648151306,1.0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
ID12105,0.7959183673469388,0.7839867891552551,0.0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0
ID12106,0.7959183673469388,0.5653426283241983,0.6666666666666666,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
ID12107,0.08163265306122447,0.06646822409499362,0.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
ID12108,0.8163265306122449,0.34297659383690066,0.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12109,0.3877551020408163,0.3491315370030468,0.6666666666666666,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
ID12110,0.7346938775510203,0.3303380538437938,0.6666666666666666,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12111,0.9795918367346939,0.9427660834239998,0.0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
ID12112,0.693877551020408,0.37243841572416764,0.0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
ID12113,0.5306122448979591,0.1844863771336892,0.3333333333333333,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1
ID12114,0.9795918367346939,0.8636276584596742,0.3333333333333333,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ID12115,0.36734693877551017,0.24881990106320317,0.0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0
ID12116,0.40816326530612246,0.2981609676802678,0.0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
ID12117,0.3877551020408163,0.218797131042818,0.6666666666666666,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
ID12118,0.5714285714285714,0.6194827266690744,0.0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
ID12119,0.8979591836734693,0.37674704801044945,0.0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
ID12120,0.26530612244897955,0.3012702722095454,0.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12121,0.8775510204081631,0.9096735849696184,0.6666666666666666,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
ID12122,0.653061224489796,0.19758950607140313,0.6666666666666666,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
ID12123,0.7346938775510203,0.5752710661404307,0.0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12124,0.18367346938775508,0.18109659853785254,0.0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
ID12125,0.08163265306122447,0.1312221149843872,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0
ID12126,0.7755102040816326,0.6197924526321458,0.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
ID12127,0.5510204081632653,0.2717929640241249,0.0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
ID12128,0.4285714285714285,0.2598220555514163,0.3333333333333333,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1
ID12129,0.4285714285714285,0.41890247228425814,1.0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0
ID12130,0.8775510204081631,0.33133605972480157,0.3333333333333333,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
ID12131,0.8775510204081631,0.3084989320476723,0.6666666666666666,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12132,0.040816326530612235,0.19463850592325088,0.6666666666666666,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
ID12133,0.5510204081632653,0.31710759312126163,0.3333333333333333,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
ID12134,0.30612244897959184,0.428576246530854,1.0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0
ID12135,0.5102040816326531,0.5593597551375363,0.0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
ID12136,0.18367346938775508,0.2555891340561075,0.6666666666666666,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12137,0.020408163265306145,0.10218874734603564,1.0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12138,0.36734693877551017,0.14396733836477424,0.0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1
ID12139,0.5102040816326531,0.2321239509538613,0.0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12140,0.9795918367346939,0.3506319872241481,0.6666666666666666,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
ID12141,0.7551020408163265,0.37442410328741416,0.0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1
ID12142,0.5918367346938775,0.3774938317214104,0.0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
ID12143,1.0,0.8724342000096702,0.6666666666666666,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1
ID12144,0.2857142857142857,0.3881432427516811,0.0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
ID12145,0.040816326530612235,0.1501446506282533,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
ID12146,0.9387755102040816,0.8200234049586094,0.6666666666666666,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
ID12147,0.653061224489796,0.14229653886398366,0.3333333333333333,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
ID12148,0.22448979591836737,0.13924573812773064,0.6666666666666666,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1
ID12149,0.693877551020408,0.5942194122812194,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
ID12150,0.5918367346938775,0.22116309326072436,0.6666666666666666,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
ID12151,0.12244897959183676,0.15994747735946227,0.6666666666666666,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0
ID12152,0.36734693877551017,0.32487827339476344,0.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
ID12153,0.5102040816326531,0.19350112335886105,0.3333333333333333,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
ID12154,0.6122448979591837,0.4263875163918164,0.3333333333333333,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
ID12155,0.9183673469387754,0.8918092796995795,0.0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0
ID12156,0.693877551020408,0.7368310112776385,1.0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1
ID12157,0.8163265306122449,0.34350829007350653,0.0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1
ID12158,0.20408163265306123,0.31163060567428286,0.0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
ID12159,0.22448979591836737,0.1742998343482307,0.0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
ID12160,0.326530612244898,0.3496477469414991,0.3333333333333333,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1
ID12161,0.4897959183673469,0.33982255111295717,0.3333333333333333,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
ID12162,0.9591836734693877,0.543307346751465,0.3333333333333333,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
ID12163,0.5918367346938775,0.37869832157779904,0.6666666666666666,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12164,0.040816326530612235,0.11504925761267701,0.0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
ID12165,0.06122448979591838,0.0,0.0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
ID12166,0.4897959183673469,0.21295191383974327,0.0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12167,0.020408163265306145,0.10060570353478196,0.6666666666666666,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0
ID12168,0.4693877551020408,0.5141225575311674,0.0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
ID12169,0.2448979591836734,0.24758960070989183,0.6666666666666666,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0
ID12170,0.26530612244897955,0.09339425069460347,0.6666666666666666,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
ID12171,0.1428571428571429,0.15573520426169157,1.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12172,0.06122448979591838,0.05245587738568572,0.0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1
ID12173,0.36734693877551017,0.46403470720314177,1.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
ID12174,0.8163265306122449,0.3128798337253374,0.6666666666666666,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0
ID12175,0.9387755102040816,0.8200819087516339,0.6666666666666666,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
ID12176,0.8367346938775511,0.5264702992589462,0.6666666666666666,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1
ID12177,0.5510204081632653,0.37741467953084773,0.0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
ID12178,0.8775510204081631,0.7647218342522156,0.3333333333333333,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
ID12179,0.2448979591836734,0.1670849401084626,0.0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
ID12180,0.8163265306122449,0.5077903822861527,0.6666666666666666,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1
ID12181,0.653061224489796,0.293170938275229,1.0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
ID12182,0.2448979591836734,0.3922144184662748,1.0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0
ID12183,0.22448979591836737,0.13038069278470998,0.3333333333333333,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12184,0.346938775510204,0.19581890598251184,0.3333333333333333,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
ID12185,0.8979591836734693,0.3271375522253896,0.0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1
ID12186,0.36734693877551017,0.4588915355163622,0.3333333333333333,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
ID12187,0.1428571428571429,0.18085914196616448,0.0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12188,0.9795918367346939,0.3019482279287128,0.0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
ID12189,0.2448979591836734,0.1864290472020647,0.0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
ID12190,0.7346938775510203,0.44878242422167147,0.6666666666666666,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
ID12191,0.3877551020408163,0.34070354940791575,0.3333333333333333,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1
ID12192,0.20408163265306123,0.351282411746598,0.6666666666666666,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0
ID12193,0.7142857142857142,0.5136682927853294,0.0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
ID12194,0.8775510204081631,0.6463789851622335,0.6666666666666666,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12195,0.8775510204081631,0.6213995862405273,0.0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0
ID12196,0.0,0.08562030109149149,0.0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12197,0.08163265306122447,0.05049238684979271,0.3333333333333333,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0
ID12198,0.326530612244898,0.44491429108286906,0.6666666666666666,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ID12199,0.346938775510204,0.12236911453993043,0.6666666666666666,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0
ID12200,0.0,0.17782898962744953,0.0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0
ID12201,0.7346938775510203,0.3732832793234346,0.3333333333333333,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
ID12202,0.18367346938775508,0.11339738580962966,0.6666666666666666,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12203,0.4897959183673469,0.18042724631765938,0.0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1
ID12204,0.5102040816326531,0.4830742504330571,0.0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
ID12205,0.9387755102040816,0.5075959432093357,0.3333333333333333,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
ID12206,0.5102040816326531,0.4711498008548092,1.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12207,0.6326530612244897,0.7161344341452913,0.0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
ID12208,0.10204081632653061,0.1380980313645717,0.0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
ID12209,0.10204081632653061,0.13193792609904106,0.0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
ID12210,0.2448979591836734,0.32723047001431105,0.6666666666666666,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
ID12211,0.36734693877551017,0.5560663357302107,0.6666666666666666,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
ID12212,0.326530612244898,0.3496288192437559,1.0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0
ID12213,0.6734693877551019,0.5520003221150015,0.0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
ID12214,0.36734693877551017,0.4924021640208899,0.6666666666666666,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
ID12215,0.7755102040816326,0.6575480475305462,0.3333333333333333,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
ID12216,0.7346938775510203,0.7361599383576505,0.0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12217,0.7755102040816326,0.2876337263354308,0.6666666666666666,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
ID12218,0.16326530612244894,0.08654930691072613,1.0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
ID12219,0.4285714285714285,0.2108870740859341,0.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1
ID12220,0.9387755102040816,0.7011987599260718,1.0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
ID12221,0.5714285714285714,0.42176571674287355,0.6666666666666666,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0
ID12222,0.8979591836734693,0.8577617928590614,0.3333333333333333,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
ID12223,0.36734693877551017,0.2716088491460769,0.3333333333333333,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
ID12224,0.346938775510204,0.48203838915656283,0.3333333333333333,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1
ID12225,0.5918367346938775,0.6885843097300927,1.0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1
ID12226,0.5918367346938775,0.5849792543829235,0.6666666666666666,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
ID12227,0.3877551020408163,0.34832969089865096,0.0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12228,0.6122448979591837,0.6468057187113542,0.0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12229,0.4693877551020408,0.15621355880465737,1.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12230,0.18367346938775508,0.2810950671150351,0.0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1
ID12231,0.5102040816326531,0.31372125592501465,0.6666666666666666,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0
ID12232,0.8775510204081631,0.6296950799514556,1.0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0
ID12233,0.693877551020408,0.2013543972225152,0.6666666666666666,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0
ID12234,0.9387755102040816,0.5406815588645377,0.0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0
ID12235,0.9795918367346939,0.9376022633396822,0.6666666666666666,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ID12236,0.7142857142857142,0.45289833813093106,0.3333333333333333,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
ID12237,0.040816326530612235,0.155459892294517,0.6666666666666666,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0
ID12238,0.7959183673469388,0.5883260154838892,0.0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
ID12239,0.9591836734693877,0.639406709593538,0.0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12240,0.9387755102040816,0.8646308264400665,0.3333333333333333,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
ID12241,0.693877551020408,0.5520175291129499,1.0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12242,0.5918367346938775,0.30589207185848827,0.0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
ID12243,0.20408163265306123,0.21037946764645604,0.3333333333333333,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0
ID12244,0.9387755102040816,0.7564297819408771,0.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
ID12245,0.1428571428571429,0.2393285209948604,0.3333333333333333,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
ID12246,0.8163265306122449,0.7947910631670614,0.0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
ID12247,0.326530612244898,0.261924750700712,0.6666666666666666,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0
ID12248,0.040816326530612235,0.2382496422234951,0.6666666666666666,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0
ID12249,0.9183673469387754,0.3564995735245558,0.0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
ID12250,0.2448979591836734,0.39965300367937234,1.0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12251,0.7142857142857142,0.3988477161753867,0.3333333333333333,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
ID12252,0.5102040816326531,0.5406196136719235,0.6666666666666666,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
ID12253,0.9183673469387754,0.853546078361701,0.6666666666666666,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
ID12254,0.30612244897959184,0.33977953361808616,0.3333333333333333,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
ID12255,0.4693877551020408,0.31560886359995516,0.6666666666666666,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0
ID12256,0.040816326530612235,0.05384998835946589,0.6666666666666666,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1
ID12257,0.653061224489796,0.36906068202689485,0.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12258,0.12244897959183676,0.2659012879265894,0.6666666666666666,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12259,0.857142857142857,0.2837776380951922,0.0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1
ID12260,0.5306122448979591,0.17725083449638296,0.3333333333333333,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
ID12261,0.10204081632653061,0.23851462999190065,0.6666666666666666,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12262,0.44897959183673464,0.13701915259320643,0.0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
ID12263,0.6326530612244897,0.2700516158317458,1.0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0
ID12264,0.06122448979591838,0.04362266498886966,0.3333333333333333,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0
ID12265,0.44897959183673464,0.3422435757242984,0.0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
ID12266,0.16326530612244894,0.3279239120316319,0.3333333333333333,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1
ID12267,0.040816326530612235,0.07873406051253795,0.3333333333333333,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
ID12268,0.12244897959183676,0.061061613269623866,0.3333333333333333,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0
ID12269,0.3877551020408163,0.3732763965242552,0.0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0
ID12270,0.7755102040816326,0.4991111725209748,0.0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
ID12271,0.693877551020408,0.7598866678287125,0.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12272,0.08163265306122447,0.25315090244681787,0.6666666666666666,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
ID12273,0.346938775510204,0.3326523950678549,1.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12274,0.326530612244898,0.378299119225396,0.3333333333333333,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
ID12275,1.0,0.6288106402569072,0.6666666666666666,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
ID12276,0.8163265306122449,0.8831679253298882,0.0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
ID12277,0.44897959183673464,0.5599895312624481,0.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12278,0.4693877551020408,0.431639092165671,0.0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
ID12279,0.5102040816326531,0.1762098111205042,0.0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1
ID12280,0.9183673469387754,0.5346539474832097,0.6666666666666666,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
ID12281,0.08163265306122447,0.217510047596277,0.3333333333333333,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
ID12282,0.857142857142857,0.8886500748762515,0.0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1
ID12283,0.9591836734693877,0.5625361669588128,0.0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
ID12284,0.6122448979591837,0.2323252728298577,0.6666666666666666,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
ID12285,0.40816326530612246,0.42342619204489507,0.0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0
ID12286,0.6326530612244897,0.4758714010918528,0.3333333333333333,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
ID12287,0.040816326530612235,0.22818698982326518,0.0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1
ID12288,0.6122448979591837,0.5058132982218804,0.3333333333333333,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1
ID12289,0.40816326530612246,0.5136751755845088,0.6666666666666666,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0
ID12290,0.4693877551020408,0.2887745502994103,0.0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
ID12291,1.0,0.9999999999999999,0.6666666666666666,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
ID12292,0.4285714285714285,0.17176352285063512,0.3333333333333333,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0
ID12293,0.9387755102040816,0.7572918525380924,1.0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1
ID12294,0.4693877551020408,0.19333077407917176,0.0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1
ID12295,0.7551020408163265,0.5364778892657411,0.6666666666666666,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1
ID12296,0.693877551020408,0.220691621516938,0.3333333333333333,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
